,TF,Target,Mode of Regulation,References
2102,FOS,MYC,Repression,2498162
2104,FOS,NFKB1,Repression,20188076
2116,FOS,PGR,Unknown,14684847
2122,FOS,SMAD4,Unknown,11854297
2129,FOS,TP53,Unknown,10348347
2144,FOSL2,BRCA1,Activation,17434164
2152,FOSL2,MYB,Activation,22493372
2162,FOXA1,BRCA1,Unknown,16331276
2165,FOXA1,ESR1,Unknown,20501593;24290378
2169,FOXA1,MYC,Unknown,24512546
2170,FOXA1,NF1,Activation,8495744
2194,FOXA2,TCF7L2,Unknown,22951069
2200,FOXC1,FOXO1,Unknown,17993506;21837767
2204,FOXD3,MITF,Repression,21519923
2223,FOXH1,AR,Repression,16120611
2234,FOXL2,SIRT1,Activation,19010791
2237,FOXM1,AR,Activation,24583551
2249,FOXM1,MYC,Activation,23804320
2257,FOXO1,AR,Repression,19074551
2281,FOXO3,AR,Activation,16061480
2282,FOXO3,AR,Unknown,17522055
2294,FOXO3,SIRT1,Activation,23525956
2301,FOXO4,CREB1,Activation,20136501
2302,FOXO4,HIF1A,Repression,12761217;20136501
2317,FOXP3,BRCA1,Repression,23319807
2324,FOXP3,SATB1,Unknown,21743493
2331,FOXQ1,TWIST1,Activation,23723077
2335,FUBP1,MYC,Unknown,11239393;18193062;24117486
2337,FUS,AR,Unknown,21909421
2358,GATA1,CEBPA,Repression,19825991
2361,GATA1,DACH1,Repression,22902925
2373,GATA1,GATA1,Activation,16492768
2374,GATA1,GATA1,Unknown,17628529;20542454
2411,GATA1,WT1,Activation,19212333
2412,GATA1,WT1,Unknown,10360378
2416,GATA2,AR,Activation,24423874
2422,GATA2,GATA1,Activation,23071749
2423,GATA2,GATA1,Unknown,19279013
2428,GATA2,PPARG,Repression,19772889
2433,GATA2,WT1,Activation,19212333
2447,GATA3,ESR1,Unknown,17616709
2451,GATA3,GATA3,Unknown,20484083
2463,GATA3,NFKB1,Unknown,19686049
2465,GATA3,RELA,Unknown,19686049
2468,GATA3,TCF7L2,Unknown,22951069
2472,GATA3,ZEB1,Activation,20731704
2483,GATA4,HDAC9,Repression,18332107
2516,GFI1,NF1,Unknown,14504408
2529,GLI1,JUN,Unknown,19219074
2535,GLI1,SMAD4,Unknown,24739390
2552,GLI2,JUN,Unknown,19219074
2564,GTF2A1,TBP,Unknown,12818428
2569,GTF2I,SIRT1,Activation,21407215
2574,GTF3A,STAT1,Unknown,12364590
2577,HAND2,GATA4,Unknown,11994297
2582,HBP1,DNMT1,Repression,23249948
2585,HCFC1,E2F1,Activation,17612494;19763085
2586,HCFC1,E2F4,Repression,17612494
2591,HDAC1,AR,Unknown,11971970
2614,HDAC1,DNMT1,Unknown,23242655
2615,HDAC1,E2F1,Repression,9724731
2620,HDAC1,ESR1,Repression,18316616;20101232;23242655
2621,HDAC1,ESR1,Unknown,21655924
2622,HDAC1,FOS,Repression,17056544
2631,HDAC1,KLF4,Repression,15051827
2638,HDAC1,NFKB1,Unknown,24448807
2654,HDAC1,RUNX3,Activation,18850007
2655,HDAC1,RUNX3,Repression,18850007
2656,HDAC1,RUNX3,Unknown,18430739;22274925
2660,HDAC1,SNAI2,Repression,18588516
2661,HDAC1,SP1,Repression,21636851
2663,HDAC1,STAT3,Unknown,18611949
2668,HDAC1,TP53,Repression,15130752
2673,HDAC11,MYC,Unknown,20493879
2689,HDAC2,DNMT1,Repression,22328086
2692,HDAC2,KLF4,Repression,19486889
2694,HDAC2,MYC,Unknown,20493879
2695,HDAC2,MYCN,Unknown,15382088
2697,HDAC2,SNAI2,Repression,23836662
2698,HDAC2,SP1,Repression,21636851
2702,HDAC2,TWIST1,Repression,23836662
2716,HDAC3,JUN,Repression,17244530
2721,HDAC3,MYC,Repression,19279113;23079660;23714368
2736,HDAC4,JUN,Activation,10523670
2737,HDAC4,JUN,Repression,10523670
2738,HDAC4,KLF4,Unknown,21118993
2746,HDAC4,RUNX2,Repression,19509297
2748,HDAC4,SMAD4,Unknown,23817620
2749,HDAC4,TGIF1,Activation,17610967
2753,HDAC4,WT1,Repression,18064385
2762,HDAC5,WT1,Repression,18064385
2763,HDAC5,YY1,Activation,18632988
2768,HDAC7,ESR1,Repression,21078666
2770,HDAC7,HIF1A,Activation,20693714
2771,HDAC7,HIF1A,Repression,22172637
2772,HDAC7,MAML1,Unknown,20203086
2777,HDAC7,NR4A1,Unknown,15623513
2784,HDAC9,ESR1,Repression,19185986
2791,HDAC9,NFKB1,Repression,15964798
2793,HDAC9,RELA,Repression,15964798
2794,HDAC9,STAT6,Repression,21106524
2796,HDAC9,TP53,Repression,15964798
2806,HES1,E2F1,Repression,15467735
2817,HEY1,GATA4,Repression,16199874
2823,HEY2,GATA4,Repression,16199874
2825,HEYL,AR,Repression,21454491
2831,HIC1,E2F1,Repression,19486893
2834,HIC1,MYC,Repression,24067369
2835,HIC1,SIRT1,Repression,19525223;19649206
2836,HIC1,SIRT1,Unknown,22064865
2837,HIC1,STAT3,Activation,24067369
2848,HIF1A,AR,Activation,17426252;21056661
2849,HIF1A,ARNT,Unknown,12239177
2873,HIF1A,ERCC2,Unknown,19934262
2879,HIF1A,HIF1A,Repression,14744852
2894,HIF1A,NR4A1,Activation,14729605
2901,HIF1A,PPARA,Unknown,14521756
2914,HIF1A,STAT3,Unknown,23991099
2923,HIF1A,TWIST1,Activation,23623921
2924,HIF1A,TWIST1,Unknown,21931630
2925,HIF1A,TWIST2,Unknown,21931630
2935,HIF3A,EPAS1,Unknown,19755485
2936,HIF3A,HIF1A,Unknown,19755485
2941,HIPK2,HIF1A,Repression,19046997
2944,HIPK2,TP53,Unknown,12851404
2961,HMGA1,BRCA1,Repression,12640109;16007157
2975,HMGA1,SP1,Unknown,20335021
2976,HMGA1,TP53,Unknown,20335021
2977,HMGA1,TWIST1,Activation,22276142
2986,HMGN1,FOS,Unknown,17938209
3050,HNF4A,MYC,Activation,23714368
3052,HNF4A,NR1I2,Activation,12601364;18305375
3054,HNF4A,PPARA,Unknown,11981036
3060,HNF4A,TBP,Unknown,19805548
3061,HNF4A,TCF7L2,Unknown,22951069
3070,HOPX,FOS,Repression,19173292
3074,HOXA1,EPAS1,Unknown,17213808
3077,HOXA1,MYC,Activation,15665309
3088,HOXA10,KLF9,Repression,20463357
3090,HOXA10,MYCN,Repression,21261500
3093,HOXA10,TP53,Activation,21993662
3094,HOXA10,WT1,Unknown,19017365
3098,HOXA5,PGR,Activation,10875927
3109,HOXA9,MYCN,Activation,21261500
3110,HOXA9,NFKB1,Repression,18068911
3111,HOXA9,RELA,Repression,18068911
3115,HOXB1,TCF4,Repression,15126340
3116,HOXB13,TCF4,Repression,15928669
3157,HSF1,HOPX,Unknown,22669480
3165,HSF1,JUN,Unknown,24127737
3171,HSF1,NFKB1,Unknown,18689673
3173,HSF1,RELA,Unknown,18689673
3179,HSF2,FOS,Unknown,17915561
3180,HSF2,HIF1A,Unknown,21258402
3190,HSF4,HIF1A,Unknown,21258402
3200,ID4,BRCA1,Repression,12032322;17016441
3202,IFI16,BRCA1,Unknown,22618232
3204,IFI16,MYC,Repression,20052289
3205,IFI16,TP53,Unknown,22618232
3206,IFI16,WT1,Activation,18231640
3211,IKBKB,TP53,Unknown,24006445
3216,ILF2,ILF3,Unknown,11739746
3231,ING1,TP53,Activation,15662138;16325212
3250,ING4,TP53,Activation,19895734
3263,IRF1,CIITA,Activation,10557076;11464288
3264,IRF1,CIITA,Unknown,10202014;9916712
3269,IRF1,E2F1,Repression,22200613
3273,IRF1,FOXP3,Repression,18641303
3289,IRF1,MYB,Repression,10739671
3305,IRF1,TP53,Unknown,19003964
3308,IRF2,CIITA,Activation,10557076;10956389
3329,IRF3,PURA,Repression,21062477
3365,IRF8,NF1,Activation,15371411
3391,JUN,AR,Repression,20148354
3392,JUN,AR,Unknown,16732317
3398,JUN,BRCA1,Activation,17434164
3410,JUN,CREM,Activation,21757709
3428,JUN,ETS1,Activation,1945412
3429,JUN,ETS2,Unknown,22354960
3461,JUN,JUN,Activation,9502786
3462,JUN,JUN,Unknown,19671687
3491,JUN,MYB,Unknown,1527086
3492,JUN,MYC,Repression,2498162
3512,JUN,PGR,Repression,14684847
3519,JUN,PPARA,Unknown,10542237
3530,JUN,RUNX2,Unknown,11604227
3550,JUN,TP53,Repression,22859294
3551,JUN,TP53,Unknown,10348347
3552,JUN,TP73,Unknown,15302867
3556,JUN,VDR,Activation,15930183
3572,JUNB,SMAD4,Unknown,11854297
3597,JUND,MYB,Activation,22493372
3598,JUND,MYB,Repression,18071306
3599,JUND,MYB,Unknown,1527086
3619,KAT2B,RB1,Activation,19525977
3620,KAT2B,SMAD4,Activation,19525977
3621,KAT2B,TP73,Unknown,19188449
3622,KAT2B,YY1,Unknown,11486036
3623,KAT2B,ZEB1,Repression,22384255
3628,KAT5,STAT3,Repression,12551922
3636,KDM4B,AR,Activation,23435229
3639,KDM4B,ESR1,Unknown,23723241
3642,KHDRBS1,AR,Unknown,18273831
3660,KLF12,TFAP2A,Repression,10704285;11373277
3677,KLF2,PPARG,Repression,20693579
3723,KLF4,TP53,Activation,21132436
3724,KLF4,TP53,Repression,17308127
3725,KLF4,TP53,Unknown,18511453
3726,KLF4,VDR,Repression,22677193
3736,KLF5,FOXO1,Unknown,21487104
3737,KLF5,HIF1A,Activation,23880760
3775,KLF9,PGR,Unknown,20463357
3777,L3MBTL1,MYC,Unknown,23543057
3783,LEF1,AR,Unknown,19351848
3789,LEF1,CEBPA,Unknown,19620402
3793,LEF1,CTNNB1,Unknown,11326276
3799,LEF1,ESR1,Unknown,18794125
3801,LEF1,MITF,Activation,12048204
3803,LEF1,MYC,Unknown,19620402
3811,LEF1,SNAI2,Unknown,20128911
3813,LEF1,TCF4,Unknown,19174556
3820,LIMD1,HIF1A,Repression,22286099
3825,LMO2,ELK1,Unknown,22517897
3829,LMO2,LEF1,Repression,22517897
3832,LMO2,ZEB1,Repression,20731704
3838,LMO4,BRCA1,Repression,11751867;12925972
3840,LMO4,ESR1,Unknown,16288053
3841,LMO4,MTA1,Unknown,16288053
3853,LYL1,NFKB1,Repression,10023675
3876,MAX,MYC,Unknown,9797456
3906,MCM5,STAT1,Unknown,11248027
3908,MDM4,TP53,Unknown,11528400;17499002;17875722;19910468
3914,MECP2,ESR1,Repression,15870696
3915,MECP2,ESR1,Unknown,21655924;23242655
3921,MED1,AR,Unknown,22102282
3925,MED1,VDR,Unknown,17229570
3930,MEF2A,JUN,Activation,12054430
3931,MEF2A,JUN,Unknown,10403485
3945,MEF2C,JUN,Activation,10523670;12054430
3946,MEF2C,JUN,Repression,10523670
3947,MEF2C,JUN,Unknown,10849446
3949,MEF2C,MECP2,Unknown,20513142
3950,MEF2C,NR4A1,Repression,18079734
3954,MEF2D,ATM,Unknown,24672010
3956,MEF2D,HDAC7,Unknown,15171250
3957,MEF2D,JUN,Activation,12054430
3959,MEIS1,AR,Unknown,25158280
3964,MEN1,BRCA1,Unknown,23648481
3969,MEN1,GATA3,Unknown,20484083
3970,MEN1,JUND,Repression,22327296
3983,MITF,FOS,Activation,14737107
3986,MITF,HIF1A,Activation,22012259
4007,MKL1,SRF,Unknown,14565952
4025,MSC,FOXP3,Activation,19561533
4043,MSX2,NKX3-1,Activation,22848398
4049,MTA1,BRCA1,Unknown,17922032
4054,MTA1,ESR1,Repression,24413532
4055,MTA1,ESR1,Unknown,11146623
4056,MTA1,HDAC1,Unknown,23791785
4061,MTA1,MYC,Unknown,12431981
4067,MTA1,SNAI2,Activation,18719363
4088,MXI1,MYC,Repression,8838813
4089,MXI1,MYCN,Unknown,15382088
4098,MYB,CEBPA,Unknown,10706719
4107,MYB,GATA3,Unknown,20484083
4118,MYB,MYB,Unknown,7655015
4119,MYB,MYC,Activation,1594249
4120,MYB,MYC,Unknown,11259163;16088151;19609274
4126,MYB,SIM2,Unknown,11404025
4127,MYB,SP3,Unknown,18342022
4130,MYB,WT1,Activation,18064385
4138,MYBL2,MYC,Activation,1594249
4141,MYBL2,SP1,Unknown,14613485
4172,MYC,CEBPA,Repression,19259613
4173,MYC,CEBPA,Unknown,15867211
4184,MYC,EP300,Unknown,12776737
4191,MYC,GATA1,Repression,18838534
4192,MYC,GATA4,Activation,23239811
4247,MYC,TP53,Activation,8494784
4248,MYC,TP53,Unknown,19086036
4249,MYC,TP73,Activation,11115495
4264,MYCN,CIITA,Repression,12107114
4302,MYCN,TP53,Activation,19885598;21862876
4303,MYCN,TP53,Repression,21862876
4333,NANOG,GATA4,Repression,15983365
4349,NCOA2,AR,Repression,17079484
4351,NCOA3,BRCA1,Unknown,21914189
4357,NCOA4,AR,Activation,16110473
4358,NCOA4,AR,Unknown,18156210
4363,NCOA6,FOS,Activation,19329434
4364,NCOA6,HSF1,Activation,14960326
4365,NCOR1,AR,Activation,21720703
4366,NCOR1,AR,Unknown,16373395
4367,NCOR1,ESR1,Repression,20101232
4371,NCOR1,PPARG,Repression,20462215
4372,NCOR1,SNAI2,Repression,18588516
4373,NCOR2,AR,Activation,21720703
4374,NCOR2,AR,Unknown,16373395
4376,NCOR2,MYCN,Unknown,21212796
4377,NCOR2,NR1I2,Unknown,16219912
4384,NELFCD,CTNNB1,Repression,20735431
4390,NF1,DDB2,Unknown,12527763
4391,NF1,FOS,Activation,9562250
4396,NF1,MYC,Activation,9562250
4400,NF1,SP3,Unknown,18342022
4401,NF1,TP53,Activation,10634504;8816507
4413,NFATC1,SP1,Repression,21603612
4417,NFATC2,FOXP3,Activation,16517728
4429,NFE2L2,BRCA1,Activation,23353771
4477,NFIC,JUN,Unknown,10403485
4491,NFIL3,PGR,Unknown,1620116
4513,NFKB1,AR,Repression,15517885
4514,NFKB1,AR,Unknown,16619263
4637,NFKB1,E2F1,Unknown,16725311
4643,NFKB1,ELF3,Unknown,12746898
4662,NFKB1,FOXO3,Unknown,19299143
4663,NFKB1,FOXP3,Activation,20462637
4665,NFKB1,GATA3,Activation,20660789
4677,NFKB1,HDAC1,Unknown,23027620
4678,NFKB1,HDAC7,Unknown,21243522
4680,NFKB1,HIF1A,Unknown,18498249
4721,NFKB1,IRF1,Activation,18694960
4722,NFKB1,IRF1,Unknown,12077266
4758,NFKB1,MYC,Activation,17018379
4759,NFKB1,MYC,Repression,18566231
4760,NFKB1,MYC,Unknown,11114727;12894581;17673602;17944672;18184402;19469019;19766095;21790895
4763,NFKB1,NCOR1,Unknown,17876798
4765,NFKB1,NFKB1,Unknown,19469019
4766,NFKB1,NFKBIA,Activation,12885753
4767,NFKB1,NFKBIA,Repression,11744993
4768,NFKB1,NFKBIA,Unknown,10454561;15499023;17876798
4840,NFKB1,TBP,Unknown,9023117
4874,NFKB1,TP53,Unknown,10348347;11032029
4890,NFKB1,WT1,Unknown,11243407
4894,NFKB1,YY1,Repression,16784892
4895,NFKB1,YY1,Unknown,17438126
4899,NFKB2,HIF1A,Repression,19414801
4914,NFKBIA,NFKB1,Activation,9500973
4915,NFKBIA,NFKB1,Repression,11278471;18606063;20173029
4916,NFKBIA,NFKB1,Unknown,15713458;17148610
4919,NFKBIA,RELA,Activation,9500973
4920,NFKBIA,RELA,Repression,11278471;18606063;20173029
4921,NFKBIA,RELA,Unknown,15713458;17148610
4927,NFRKB,JUN,Activation,22291976
4948,NFYA,SP3,Activation,16024108
4954,NFYB,FOS,Unknown,23595228
4969,NFYC,FOS,Unknown,23595228
4986,NKX2-1,SP1,Unknown,23995788
4990,NKX2-5,CTNNB1,Unknown,19479054
4994,NKX2-5,GATA4,Activation,19479054
5000,NKX3-1,AR,Repression,16697957
5002,NKX3-1,ESR1,Unknown,18794125
5003,NKX3-1,FOS,Repression,22179513
5015,NPAS2,PER1,Unknown,17660446
5018,NPM1,ATF5,Repression,22528486
5022,NPM1,DNMT1,Unknown,19887607
5023,NPM1,ELF4,Unknown,23393136
5043,NR0B2,E2F1,Repression,18657049
5069,NR1H4,NFKB1,Activation,21364590
5070,NR1H4,NR1I2,Activation,21476904
5072,NR1H4,RELA,Activation,21364590
5093,NR1I2,KLF6,Activation,21072196
5094,NR1I2,NFKB1,Repression,22248096
5099,NR1I2,RELA,Repression,22248096
5112,NR2E3,ESR1,Unknown,22174013
5123,NR2F2,E2F1,Unknown,22734039
5128,NR2F2,PPARA,Unknown,11981036
5129,NR2F2,TFAP2A,Activation,20195529
5135,NR3C1,ATF2,Repression,17016446
5141,NR3C1,BRCA1,Activation,22328717
5151,NR3C1,ELK1,Repression,17016446
5152,NR3C1,ETS1,Repression,17016446
5157,NR3C1,NFKB1,Repression,17016446
5158,NR3C1,NR1I2,Unknown,12815172
5169,NR3C1,SRF,Repression,17016446
5170,NR3C1,STAT1,Repression,17016446
5172,NR3C1,TP53,Repression,17016446
5188,NR4A1,E2F1,Activation,12947120
5204,NR4A3,PPARG,Repression,18855877
5264,NRL,NR2E3,Activation,18294621
5272,NUPR1,EP300,Unknown,22858377
5274,NUPR1,TP53,Unknown,22858377
5276,ONECUT1,MITF,Unknown,11478782
5278,ONECUT2,MITF,Activation,11478782
5296,PA2G4,AR,Unknown,20159994
5297,PA2G4,E2F1,Repression,16254079
5298,PA2G4,E2F1,Unknown,17786317
5307,PARP1,E2F1,Activation,14627987
5310,PARP1,FOXO1,Repression,19281796
5316,PARP1,JUN,Unknown,16026317
5317,PARP1,NFKB1,Unknown,16026317
5318,PARP1,RELA,Unknown,16026317
5334,PAX2,TP53,Repression,8521821
5335,PAX2,WT1,Unknown,9178767
5340,PAX3,MITF,Activation,20925909;21965087
5341,PAX3,MITF,Repression,19074888
5342,PAX3,MITF,Unknown,19026785;9500554
5358,PAX5,LEF1,Activation,9545244
5362,PAX5,MYCN,Activation,9545244
5366,PAX5,RB1,Unknown,10197586
5369,PAX5,TP53,Activation,22105368
5370,PAX5,TP53,Repression,8521821
5371,PAX5,XBP1,Repression,8627152
5383,PAX8,E2F1,Activation,21602887
5388,PAX8,TP53,Repression,8521821
5390,PAX8,WT1,Activation,15961562;8861958
5405,PCGF2,ZEB1,Repression,23474752
5414,PER2,SNAI2,Repression,23836662
5415,PER2,TWIST1,Repression,23836662
5423,PGR,E2F1,Activation,20123965
5426,PGR,ESR1,Activation,16982776
5427,PGR,FOXP3,Repression,18685848
5434,PGR,MYC,Unknown,22892083
5437,PGR,RELA,Repression,8626413
5442,PHB2,ARNT,Repression,21256954
5461,PIAS1,STAT1,Unknown,17940994;19136629
5462,PIAS2,AR,Activation,11117529
5465,PIAS2,MYCN,Repression,21123453
5466,PIAS3,ATF1,Activation,17565989
5467,PIAS3,ESR1,Unknown,22174013
5469,PIAS3,STAT3,Unknown,16098628
5471,PIAS4,VDR,Unknown,22564762
5472,PIR,NFKB1,Unknown,14573596
5480,PITX1,JUN,Repression,21425961
5482,PITX1,NKX3-1,Repression,21425961
5485,PITX1,RUNX2,Repression,21425961
5493,PITX2,LEF1,Activation,17785445
5524,PML,EP300,Activation,18809579
5530,PML,NR4A1,Repression,12032831
5534,PML,TP53,Unknown,12837275
5536,POLR1A,E2F1,Repression,21878508
5550,POU1F1,VDR,Activation,17456792
5556,POU2F1,AR,Unknown,21387309
5563,POU2F1,GATA1,Unknown,7499351
5585,POU2F1,SNAI2,Activation,23836662
5586,POU2F1,SNAI2,Repression,23836662
5592,POU2F1,TWIST1,Activation,23836662
5593,POU2F1,TWIST1,Repression,23836662
5616,POU3F2,MITF,Unknown,18628967
5676,PPARA,NFKBIA,Activation,14976045
5677,PPARA,NFKBIA,Unknown,11981037
5687,PPARA,STAT5A,Unknown,21542777
5726,PPARG,CEBPA,Unknown,15867211
5728,PPARG,CIITA,Activation,19358337
5729,PPARG,CIITA,Repression,11861426;17611194
5748,PPARG,KLF4,Unknown,23275339
5752,PPARG,MYC,Repression,11973610
5777,PPARG,TP53,Activation,14960510;16887883
5791,PRDM1,CIITA,Repression,16765445;16982896;17300840
5795,PRDM1,MYC,Repression,10713181;12032779
5807,PROX1,NR1I2,Repression,22023334
5811,PROX1,TWIST1,Repression,22982861
5825,PTTG1,MYC,Activation,22475756
5826,PTTG1,MYC,Unknown,11115508
5833,PURA,AR,Repression,18413735;19790234
5837,RAD51,SP1,Activation,18769160
5846,RARA,ETS1,Unknown,11327309
5874,RB1,ATF2,Unknown,7702750
5876,RB1,BRCA1,Repression,20068145
5884,RB1,E2F1,Repression,12460790;1534305;21602887;9326598;9400991;9671466
5885,RB1,E2F1,Unknown,11939591;8575214
5889,RB1,ELF1,Unknown,7702750
5891,RB1,FOS,Repression,1909121
5892,RB1,FOS,Unknown,7680889
5896,RB1,MYC,Repression,10200487;9671466
5897,RB1,MYC,Unknown,7680889
5899,RB1,PPARG,Unknown,20971808
5900,RB1,RB1,Repression,8264596
5903,RB1,SP1,Unknown,7702750
5910,RB1CC1,RB1,Activation,12095676
5911,RB1CC1,RB1,Unknown,14533007;20614030
5913,RBL1,BRCA1,Repression,17106239
5916,RBL1,MYC,Unknown,17132729;9797456
5918,RBL2,BRCA1,Repression,17106239;21701264
5920,RBL2,E2F4,Unknown,8575214
5923,RBMX,FOS,Repression,16707624
5926,RBMX,JUND,Repression,16707624
5933,RBPJ,NFKB1,Unknown,14570916
5971,RELA,AR,Repression,14715080;15517885
5972,RELA,AR,Unknown,16619263
6092,RELA,E2F1,Unknown,16725311
6097,RELA,ELF3,Unknown,12746898
6098,RELA,EPAS1,Activation,20495570
6117,RELA,FOXO3,Unknown,19299143
6118,RELA,FOXP3,Activation,20462637
6119,RELA,FOXP3,Unknown,23178569
6121,RELA,GATA3,Activation,20660789
6132,RELA,HDAC1,Unknown,23027620
6133,RELA,HDAC7,Unknown,21243522
6135,RELA,HIF1A,Unknown,18498249
6173,RELA,IRF1,Activation,18694960
6174,RELA,IRF1,Unknown,12077266
6210,RELA,MYC,Activation,17018379
6211,RELA,MYC,Repression,18566231
6212,RELA,MYC,Unknown,11114727;12894581;17673602;17944672;18184402;19469019;19766095;21790895
6215,RELA,NCOR1,Unknown,17876798
6217,RELA,NFKB1,Activation,20596645
6218,RELA,NFKB1,Unknown,19469019
6219,RELA,NFKBIA,Activation,12885753
6220,RELA,NFKBIA,Repression,11744993
6221,RELA,NFKBIA,Unknown,15499023;17876798
6240,RELA,PGR,Repression,8626413
6248,RELA,PPARA,Unknown,10542237
6280,RELA,SIRT1,Activation,20617556
6288,RELA,STAT1,Unknown,25040843
6289,RELA,STAT3,Unknown,25040843
6295,RELA,TBP,Activation,7706261
6296,RELA,TBP,Unknown,9023117
6327,RELA,TP53,Unknown,10348347;11032029;15155458
6337,RELA,TWIST1,Activation,22253230
6345,RELA,WT1,Unknown,11243407
6349,RELA,YY1,Repression,16784892
6350,RELA,YY1,Unknown,17438126
6355,REST,AR,Unknown,24163104
6379,REST,STAT1,Repression,23598529
6394,RFX1,CIITA,Unknown,1505960
6397,RFX1,HDAC1,Unknown,16464847
6406,RFX1,MYC,Repression,10918054;12032779
6463,RORA,E2F1,Unknown,24891616
6488,RUNX1,JUN,Activation,20959602
6489,RUNX1,KLF4,Unknown,19328795
6500,RUNX1,NF1,Repression,15988004
6501,RUNX1,NFKB1,Unknown,19686049
6507,RUNX1,RELA,Unknown,19686049
6514,RUNX2,AR,Unknown,24648349
6516,RUNX2,ESR1,Unknown,17350616
6529,RUNX2,SNAI2,Activation,22641097
6532,RUNX2,TWIST1,Activation,22641097
6554,RUNX3,ING4,Activation,17956589
6557,RUNX3,MYC,Repression,20442291
6561,RUNX3,TCF4,Activation,24447505
6567,RUVBL1,TP53,Repression,21617703
6590,SALL3,HDAC9,Repression,18332107
6597,SALL4,ZEB1,Activation,23954296
6606,SATB1,GATA3,Activation,20126258
6608,SATB1,HDAC1,Unknown,15713622
6643,SFPQ,STAT6,Repression,21106524
6654,SIN3A,E2F1,Repression,16254079
6668,SIRT1,CTNNB1,Repression,22245592
6673,SIRT1,FOXO3,Repression,17558024;21841822
6674,SIRT1,FOXP3,Unknown,21533107
6677,SIRT1,HIF1A,Activation,22245592
6678,SIRT1,HSF1,Activation,23349863
6679,SIRT1,HSF1,Unknown,19229036
6687,SIRT1,MYC,Repression,22245592;22483777
6693,SIRT1,PER1,Activation,22149272
6694,SIRT1,PPARG,Repression,15850715
6701,SIRT1,TP53,Activation,23661372
6702,SIRT1,TP53,Repression,15130752;15632193
6703,SIRT1,TP73,Unknown,19188449
6709,SIRT3,FOXO3,Unknown,23665396
6721,SMAD2,AHR,Unknown,11259615
6724,SMAD2,GLI1,Unknown,24739390
6726,SMAD3,AHR,Unknown,11259615
6739,SMAD3,FOXP3,Activation,20937549
6742,SMAD3,GLI2,Unknown,19797115
6743,SMAD3,JUN,Unknown,10022869
6747,SMAD3,MYC,Unknown,17132729
6758,SMAD3,VDR,Activation,17471513
6761,SMAD4,AHR,Unknown,11259615
6770,SMAD4,DACH1,Repression,14525983
6774,SMAD4,GLI1,Unknown,24739390
6776,SMAD4,JUN,Unknown,10022869
6777,SMAD4,MYC,Unknown,17132729
6793,SMAD7,MYC,Activation,15555279
6805,SMARCA4,FOS,Repression,10082538
6810,SMURF2,KLF5,Repression,21953463
6821,SNAI1,VDR,Repression,15322538;16804902;20138990
6836,SNAI2,VDR,Repression,18485278;20138990
6839,SNIP1,MYC,Unknown,17157259
6842,SNW1,VDR,Unknown,15225769
6851,SOX10,MITF,Activation,16921166
6852,SOX10,MITF,Repression,16494873
6853,SOX10,MITF,Unknown,10938265;19026785
6897,SOX4,NKX3-1,Unknown,20019190
6903,SOX6,CTNNB1,Repression,21084391
6904,SOX6,TP53,Activation,21084391
6907,SOX9,AR,Activation,17234760
6921,SOX9,KLF4,Unknown,18977346
6923,SOX9,MITF,Unknown,17702866
6961,SP1,AHR,Repression,16410262
6977,SP1,AR,Activation,15661808;18430409
6978,SP1,AR,Unknown,10773882
6982,SP1,ATF2,Unknown,2145272
6983,SP1,ATM,Unknown,11466608
6999,SP1,BRCA1,Unknown,19466541
7069,SP1,CREB1,Unknown,17937658
7070,SP1,CREM,Activation,21757709
7093,SP1,DDB2,Unknown,12527763
7097,SP1,DNMT1,Activation,19211935;20570896
7098,SP1,DNMT1,Repression,20570896
7099,SP1,DNMT1,Unknown,19201992
7104,SP1,E2F1,Unknown,10446910
7113,SP1,ELF4,Activation,15907486
7121,SP1,ESR1,Unknown,12237165;21235772
7143,SP1,FOS,Unknown,9528985
7150,SP1,GATA3,Unknown,15486968
7230,SP1,KLF8,Unknown,18353772
7243,SP1,LMO4,Unknown,23291272
7283,SP1,MTA1,Activation,21555589
7291,SP1,MYC,Unknown,2057364;8355712
7292,SP1,MYCN,Activation,14567977
7293,SP1,MYCN,Repression,21123453
7294,SP1,MYCN,Unknown,22815527
7297,SP1,NF1,Unknown,10435592;14647436
7298,SP1,NFKB1,Activation,20538607;9151857
7307,SP1,NR4A1,Unknown,8961265
7329,SP1,PGR,Activation,10894148
7370,SP1,RELA,Activation,20538607;11964305;9151857
7371,SP1,RELA,Unknown,8450395
7384,SP1,SIRT1,Unknown,23843607
7415,SP1,SP3,Activation,16024108
7479,SP1,VDR,Unknown,15664452
7487,SP1,WT1,Activation,18064385
7490,SP1,YY1,Activation,22553354
7491,SP100,ETS1,Repression,15247905
7553,SP3,FOXP3,Repression,20462637
7587,SP3,MYCN,Activation,14567977
7588,SP3,NFKB1,Activation,20538607
7599,SP3,RELA,Activation,20538607
7620,SP3,YY1,Activation,22553354
7629,SP4,NFKB1,Activation,20538607
7631,SP4,RELA,Activation,20538607
7632,SP4,YY1,Activation,22553354
7676,SPI1,GATA1,Activation,20304827
7677,SPI1,GATA1,Unknown,11001896
7710,SPI1,STAT3,Unknown,24429361
7726,SREBF1,AR,Unknown,20071336
7748,SREBF1,PPARG,Unknown,10409739
7772,SREBF2,PPARG,Unknown,10409739
7776,SRF,CREB1,Repression,1531519
7779,SRF,FOS,Activation,10742173;9734357
